EeNo, TransDate, PosCode, WrkgCode, PosRltChgRsnCode, SalRngCode, RefNo, Cmmt
1456,07/18/2016,,5DAYS,PROMO  ,ALL,,
1527,08/22/2019,,5DAYS,PROMO  ,ALL,,
